city,state,domain,population,dataset_name,dataset_id,dataset_url,total_columns,match_score,all_columns_match,has_coordinates,has_date,has_time,has_location_description,has_crime_type,has_crime_description,has_arrest,columns_list
Chicago,IL,data.cityofchicago.org,2693976,Crimes - 2001 to Present,ijzp-q8t2,https://data.cityofchicago.org/d/ijzp-q8t2,17,85.71428571428571,False,False,True,True,True,True,True,True,id | case_number | date | block | iucr | primary_type | description | location_description | arrest | domestic | beat | district | ward | community_area | fbi_code | year | updated_on
Chicago,IL,data.cityofchicago.org,2693976,Crimes - One year prior to present,x2n5-8w5q,https://data.cityofchicago.org/d/x2n5-8w5q,23,85.71428571428571,False,True,True,True,True,False,True,True,case_ | date_of_occurrence | block | _iucr | _primary_decsription | _secondary_description | _location_description | arrest | domestic | beat | ward | fbi_cd | x_coordinate | y_coordinate | latitude | longitude | location | :@computed_region_awaf_s7ux | :@computed_region_6mkv_f3dw | :@computed_region_vrxf_vc4k | :@computed_region_bdys_3d7i | :@computed_region_43wa_7qmu | :@computed_region_rpca_8um6
Chicago,IL,data.cityofchicago.org,2693976,Crimes - 2015,vwwp-7yr9,https://data.cityofchicago.org/d/vwwp-7yr9,17,85.71428571428571,False,False,True,True,True,True,True,True,id | case_number | date | block | iucr | primary_type | description | location_description | arrest | domestic | beat | district | ward | community_area | fbi_code | year | updated_on
Chicago,IL,data.cityofchicago.org,2693976,Violence Reduction - Shotspotter Alerts - Historical,3h7q-7mdb,https://data.cityofchicago.org/d/3h7q-7mdb,27,85.71428571428571,False,True,True,True,True,True,True,False,date | block | zip_code | ward | community_area | area | district | beat | street_outreach_organization | unique_id | month | day_of_week | hour | incident_type_description | rounds | illinois_house_district | illinois_senate_district | latitude | longitude | location | :@computed_region_6mkv_f3dw | :@computed_region_bdys_3d7i | :@computed_region_43wa_7qmu | :@computed_region_d9mm_jgwp | :@computed_region_d3ds_rm58 | :@computed_region_rpca_8um6 | :@computed_region_vrxf_vc4k
New York,NY,data.cityofnewyork.us,8336817,Emergency Response Incidents,pasr-j7fb,https://data.cityofnewyork.us/d/pasr-j7fb,6,71.42857142857143,False,True,True,True,True,True,False,False,incident_type | location | borough | creation_date | latitude | longitude
New York,NY,data.cityofnewyork.us,8336817,Fire Incident Dispatch Data,8m42-w767,https://data.cityofnewyork.us/d/8m42-w767,29,71.42857142857143,False,False,True,True,True,True,True,False,starfire_incident_id | incident_datetime | alarm_box_borough | alarm_box_number | alarm_box_location | incident_borough | zipcode | policeprecinct | citycouncildistrict | communitydistrict | communityschooldistrict | congressionaldistrict | alarm_source_description_tx | alarm_level_index_description | highest_alarm_level | incident_classification | incident_classification_group | dispatch_response_seconds_qy | first_assignment_datetime | first_activation_datetime | first_on_scene_datetime | incident_close_datetime | valid_dispatch_rspns_time_indc | valid_incident_rspns_time_indc | incident_response_seconds_qy | incident_travel_tm_seconds_qy | engines_assigned_quantity | ladders_assigned_quantity | other_units_assigned_quantity
Los Angeles,CA,data.lacity.org,3979576,Arrest Data from 2010 to 2019,yru6-6re4,https://data.lacity.org/d/yru6-6re4,29,71.42857142857143,False,True,True,True,True,False,True,False,rpt_id | report_type | arst_date | time | area | area_desc | rd | age | sex_cd | descent_cd | chrg_grp_cd | grp_description | arst_typ_cd | charge | chrg_desc | dispo_desc | location | lat | lon | location_1 | bkg_date | bkg_time | bgk_location | bkg_loc_cd | :@computed_region_qz3q_ghft | :@computed_region_k96s_3jcv | :@computed_region_tatf_ua23 | :@computed_region_kqwf_mjcx | :@computed_region_2dna_qi2s
Los Angeles,CA,data.lacity.org,3979576,Arrest Data from 2020 to Present,amvf-fr72,https://data.lacity.org/d/amvf-fr72,26,71.42857142857143,False,True,True,True,True,False,True,False,rpt_id | report_type | arst_date | time | area | area_desc | rd | age | sex_cd | descent_cd | chrg_grp_cd | grp_description | arst_typ_cd | charge | chrg_desc | dispo_desc | location | crsst | lat | lon | location_1 | :@computed_region_qz3q_ghft | :@computed_region_k96s_3jcv | :@computed_region_tatf_ua23 | :@computed_region_kqwf_mjcx | :@computed_region_2dna_qi2s
Kansas City,MO,data.kcmo.org,495327,KCPD Crime Data 2024,isbe-v4d8,https://data.kcmo.org/d/isbe-v4d8,22,71.42857142857143,False,False,True,True,True,True,True,False,report_no | reported_date | reported_time | from_date | from_time | offense | ibrs | description | beat | address | city | zip_code | rep_dist | area | dvflag | involvement | fire_arm_used_flag | location | :@computed_region_kk66_ngf4 | :@computed_region_k7in_q28t | :@computed_region_w4hf_t6bp | :@computed_region_qizh_zmq5
New Orleans,LA,data.nola.gov,383997,Stop and Search (Field Interviews),kitu-f4uy,https://data.nola.gov/d/kitu-f4uy,26,71.42857142857143,False,True,True,True,True,False,True,False,fieldinterviewid | nopd_item | eventdate | district | zone | officerassignment | stopdescription | actionstaken | vehicleyear | vehiclemake | vehiclemodel | vehiclestyle | vehiclecolor | subjectid | subjectrace | subjectgender | subjectage | subjecthasphotoid | subjectheight | subjectweight | subjecteyecolor | subjecthaircolor | subjectdriverlicstate | createddatetime | longitude | latitude
New York,NY,data.cityofnewyork.us,8336817,Citywide Payroll Data (Fiscal Year),k397-673e,https://data.cityofnewyork.us/d/k397-673e,16,57.14285714285714,False,False,True,True,True,False,True,False,fiscal_year | payroll_number | agency_name | last_name | first_name | agency_start_date | work_location_borough | title_description | leave_status_as_of_june_30 | base_salary | pay_basis | regular_hours | regular_gross_paid | ot_hours | total_ot_paid | total_other_pay
New York,NY,data.cityofnewyork.us,8336817,NYPD Arrest Data (Year to Date),uip8-fykc,https://data.cityofnewyork.us/d/uip8-fykc,24,57.14285714285714,False,True,True,True,False,False,False,True,arrest_key | arrest_date | pd_cd | pd_desc | ky_cd | ofns_desc | law_code | law_cat_cd | arrest_boro | arrest_precinct | jurisdiction_code | age_group | perp_sex | perp_race | x_coord_cd | y_coord_cd | latitude | longitude | geocoded_column | :@computed_region_f5dn_yrer | :@computed_region_yeji_bk3q | :@computed_region_92fq_4b7q | :@computed_region_sbqj_enih | :@computed_region_efsh_h5xi
New York,NY,data.cityofnewyork.us,8336817,NYPD Arrests Data (Historic),8h9b-rp9u,https://data.cityofnewyork.us/d/8h9b-rp9u,24,57.14285714285714,False,True,True,True,False,False,False,True,arrest_key | arrest_date | pd_cd | pd_desc | ky_cd | ofns_desc | law_code | law_cat_cd | arrest_boro | arrest_precinct | jurisdiction_code | age_group | perp_sex | perp_race | x_coord_cd | y_coord_cd | latitude | longitude | lon_lat | :@computed_region_efsh_h5xi | :@computed_region_f5dn_yrer | :@computed_region_yeji_bk3q | :@computed_region_92fq_4b7q | :@computed_region_sbqj_enih
New York,NY,data.cityofnewyork.us,8336817,NYPD Shooting Incident Data (Historic),833y-fsy8,https://data.cityofnewyork.us/d/833y-fsy8,26,57.14285714285714,False,True,True,True,True,False,False,False,incident_key | occur_date | occur_time | boro | loc_of_occur_desc | precinct | jurisdiction_code | loc_classfctn_desc | location_desc | statistical_murder_flag | perp_age_group | perp_sex | perp_race | vic_age_group | vic_sex | vic_race | x_coord_cd | y_coord_cd | latitude | longitude | geocoded_column | :@computed_region_yeji_bk3q | :@computed_region_92fq_4b7q | :@computed_region_sbqj_enih | :@computed_region_efsh_h5xi | :@computed_region_f5dn_yrer
New York,NY,data.cityofnewyork.us,8336817,NYPD Shooting Incident Data (Year To Date),5ucz-vwe8,https://data.cityofnewyork.us/d/5ucz-vwe8,26,57.14285714285714,False,True,True,True,True,False,False,False,incident_key | occur_date | occur_time | boro | loc_of_occur_desc | precinct | jurisdiction_code | loc_classfctn_desc | location_desc | statistical_murder_flag | perp_age_group | perp_sex | perp_race | vic_age_group | vic_sex | vic_race | x_coord_cd | y_coord_cd | latitude | longitude | geocoded_column | :@computed_region_yeji_bk3q | :@computed_region_92fq_4b7q | :@computed_region_sbqj_enih | :@computed_region_efsh_h5xi | :@computed_region_f5dn_yrer
Los Angeles,CA,data.lacity.org,3979576,Crime Data from 2020 to Present,2nrs-mtv8,https://data.lacity.org/d/2nrs-mtv8,22,57.14285714285714,False,True,True,True,True,False,False,False,dr_no | date_rptd | date_occ | time_occ | area | area_name | rpt_dist_no | part_1_2 | crm_cd | crm_cd_desc | mocodes | vict_age | vict_sex | vict_descent | premis_cd | premis_desc | status | status_desc | crm_cd_1 | location | lat | lon
Los Angeles,CA,data.lacity.org,3979576,Crime Data from 2010 to 2019,63jg-8b9z,https://data.lacity.org/d/63jg-8b9z,22,57.14285714285714,False,True,True,True,True,False,False,False,dr_no | date_rptd | date_occ | time_occ | area | area_name | rpt_dist_no | part_1_2 | crm_cd | crm_cd_desc | mocodes | vict_age | vict_sex | vict_descent | premis_cd | premis_desc | status | status_desc | crm_cd_1 | location | lat | lon
Los Angeles,CA,data.lacity.org,3979576,Prostitution along N Western Ave,8c4g-tg22,https://data.lacity.org/d/8c4g-tg22,16,57.14285714285714,False,False,True,True,True,False,True,False,rpt_id | arst_date | time | area | area_desc | rd | age | sex_cd | descent_cd | chrg_grp_cd | grp_description | arst_typ_cd | charge | chrg_desc | location | crsst
Los Angeles,CA,data.lacity.org,3979576,LAHD Affordable Housing Projects List (2003 to Present),mymu-zi3s,https://data.lacity.org/d/mymu-zi3s,35,57.14285714285714,False,True,True,True,True,False,False,False,apn | project_number | name | development_stage | construction_type | address | council_district | site_cd | site_units | project_total_units | housing_type | supportive_housing | sh_units_per_site | date_funded | hcidla_funded | leverage | tax_exempt_conduit_bond | tdc | in_service_date | developer | management_company | contact_phone | photo | jobs | reporturl2 | contract_numbers | date_stamp | longitude | latitude | geocoded_column | :@computed_region_k96s_3jcv | :@computed_region_tatf_ua23 | :@computed_region_kqwf_mjcx | :@computed_region_2dna_qi2s | :@computed_region_qz3q_ghft
Chicago,IL,data.cityofchicago.org,2693976,Traffic Crashes - Crashes,85ca-t3if,https://data.cityofchicago.org/d/85ca-t3if,38,57.14285714285714,False,True,True,True,True,False,False,False,crash_record_id | crash_date | posted_speed_limit | traffic_control_device | device_condition | weather_condition | lighting_condition | first_crash_type | trafficway_type | alignment | roadway_surface_cond | road_defect | report_type | crash_type | damage | date_police_notified | prim_contributory_cause | sec_contributory_cause | street_no | street_direction | street_name | beat_of_occurrence | num_units | most_severe_injury | injuries_total | injuries_fatal | injuries_incapacitating | injuries_non_incapacitating | injuries_reported_not_evident | injuries_no_indication | injuries_unknown | crash_hour | crash_day_of_week | crash_month | latitude | longitude | location | :@computed_region_rpca_8um6
Chicago,IL,data.cityofchicago.org,2693976,Violence Reduction - Victims of Homicides and Non-Fatal Shootings,gumc-mgzr,https://data.cityofchicago.org/d/gumc-mgzr,24,57.14285714285714,False,False,True,True,True,False,True,False,case_number | date | block | victimization_primary | incident_primary | gunshot_injury_i | unique_id | street_outreach_organization | age | sex | race | victimization_fbi_cd | incident_fbi_cd | victimization_fbi_descr | incident_fbi_descr | victimization_iucr_cd | incident_iucr_cd | victimization_iucr_secondary | incident_iucr_secondary | month | day_of_week | hour | location_description | updated
Memphis,TN,data.memphistn.gov,633104,ARCHIVED: Memphis Police Department: Public Safety Incidents,ybsi-jur4,https://data.memphistn.gov/d/ybsi-jur4,21,57.14285714285714,False,False,True,True,True,True,False,False,crime_id | offense_date | agency_crimetype_id | city | state | coord1 | coord2 | masked_address | location | category | :@computed_region_me95_vbw4 | :@computed_region_xf2b_u4zq | :@computed_region_gxae_hf64 | :@computed_region_stch_rtry | :@computed_region_dgrd_cuuf | :@computed_region_m99d_em2n | :@computed_region_g8my_uw59 | :@computed_region_fe8q_buag | :@computed_region_y9za_kydd | :@computed_region_fuzm_ngj2 | :@computed_region_scpn_qt9a
Memphis,TN,data.memphistn.gov,633104,MPD Traffic Stops,jctf-pnpt,https://data.memphistn.gov/d/jctf-pnpt,11,57.14285714285714,False,True,True,True,True,False,False,False,event_number | event_type | reported_date | disposition_code | location_address | latitude | longitude | zip_code | location_1 | :@computed_region_me95_vbw4 | :@computed_region_gxae_hf64
Oakland,CA,data.oaklandca.gov,433031,CrimeWatch Maps Past 90-Days,ym6k-rx7a,https://data.oaklandca.gov/d/ym6k-rx7a,10,57.14285714285714,False,False,True,True,True,False,True,False,crimetype | datetime | casenumber | description | policebeat | address | city | state | location_1 | :@computed_region_w23w_jfhw
Oakland,CA,data.oaklandca.gov,433031,Crime Data 2015,957n-urxz,https://data.oaklandca.gov/d/957n-urxz,8,57.14285714285714,False,False,True,True,True,False,True,False,crimetype | datetime | casenumber | description | policebeat | location | city | state
New Orleans,LA,data.nola.gov,383997,Electronic Police Report 2018,3m97-9vtw,https://data.nola.gov/d/3m97-9vtw,18,57.14285714285714,False,False,True,True,True,False,True,False,item_number | district | location | disposition | signal_type | signal_description | occurred_date_time | charge_code | charge_description | offender_race | offender_gender | offender_age | offender_number | victim_race | victim_gender | victim_age | victim_number | victim_fatal_status
New Orleans,LA,data.nola.gov,383997,NOPD Misconduct Complaints,gz2m-ef5u,https://data.nola.gov/d/gz2m-ef5u,24,57.14285714285714,False,False,True,True,False,True,True,False,incident_type | complaint_tracking_number | date_complaint_occurred | date_complaint_received_by_nopd_pib | date_complaint_investigation_complete | complaint_classification | investigation_status | disposition | bureau_of_complainant | division_of_complainant | unit_of_complainant | unit_additional_details_of_complainant | working_status_of_complainant | shift_of_complainant | rule_violation | paragraph_violation | allegation_id | officer_race_ethnicity | officer_gender | officer_age | officer_years_of_service | subject_gender | subject_ethnicity | subject_age
New Orleans,LA,data.nola.gov,383997,Electronic Police Report 2019,mm32-zkg7,https://data.nola.gov/d/mm32-zkg7,18,57.14285714285714,False,False,True,True,True,False,True,False,item_number | district | location | disposition | signal_type | signal_description | occurred_date_time | charge_code | charge_description | offender_race | offender_gender | offender_age | offender_number | victim_race | victim_gender | victim_age | victim_number | victim_fatal_status
New Orleans,LA,data.nola.gov,383997,Electronic Police Report 2017,qtcu-97s9,https://data.nola.gov/d/qtcu-97s9,18,57.14285714285714,False,False,True,True,True,False,True,False,item_number | district | location | disposition | signal_type | signal_description | occurred_date_time | charge_code | charge_description | offender_race | offender_gender | offender_age | offender_number | victim_race | victim_gender | victim_age | victim_number | victim_fatal_status
New Orleans,LA,data.nola.gov,383997,NOPD Body Worn Camera Metadata,qarb-kkbj,https://data.nola.gov/d/qarb-kkbj,14,57.14285714285714,False,True,True,True,True,False,False,False,evidence_id | status | title | id_external | date_uploaded | created_date_record_start | date_record_end | size_mb | duration_seconds | deletion_type | location | latitude | longitude | police_district
New Orleans,LA,data.nola.gov,383997,Electronic Police Report 2016,4gc2-25he,https://data.nola.gov/d/4gc2-25he,17,57.14285714285714,False,False,True,True,True,False,True,False,item_number | district | location | disposition | signal_type | signal_description | occurred_date_time | charge_code | charge_description | offender_race | offender_gender | offender_age | offender_number | victim_race | victim_gender | victim_number | victim_fatal_status
New Orleans,LA,data.nola.gov,383997,Electronic Police Report 2022,9wdb-bznc,https://data.nola.gov/d/9wdb-bznc,22,57.14285714285714,False,False,True,True,True,False,True,False,item_number | district | location | disposition | signal_type | signal_description | occurred_date_time | charge_code | charge_description | offender_number | offenderid | offenderstatus | offender_race | offender_gender | offender_age | victim_number | persontype | victim_race | victim_gender | victim_age | victim_fatal_status | report_type
New Orleans,LA,data.nola.gov,383997,Electronic Police Report 2024,c5iy-ew8n,https://data.nola.gov/d/c5iy-ew8n,14,57.14285714285714,False,False,True,True,True,False,True,False,item_number | district | location | disposition | signal_type | signal_description | occurred_date_time | victim_number | persontype | victim_race | victim_gender | victim_age | victim_fatal_status | report_type
New Orleans,LA,data.nola.gov,383997,Electronic Police Report 2023,j3gz-62a2,https://data.nola.gov/d/j3gz-62a2,21,57.14285714285714,False,False,True,True,True,False,True,False,item_number | district | location | disposition | signal_type | signal_description | occurred_date_time | charge_code | charge_description | offender_number | offenderid | offender_race | offender_gender | offender_age | victim_number | persontype | victim_race | victim_gender | victim_age | victim_fatal_status | report_type
