latitude,longitude,closed_date,creation_date,borough,dataset_name,incident_type,location,source_city,source_url
40.71400364095638,-73.82998933154158,,2017-01-16T13:13:38.000,Queens,Emergency Response Incidents,Utility-Water Main,136-17 72 Avenue,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71442154062271,-74.00607638041981,,2016-10-29T12:13:31.000,Manhattan,Emergency Response Incidents,Structural-Sidewalk Collapse,927 Broadway,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71400364095638,-73.82998933154158,,2016-11-14T15:53:54.000,Queens,Emergency Response Incidents,Administration-Other,Seagirt Blvd & Beach 9 Street,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71400364095638,-73.82998933154158,,2016-12-02T16:40:13.000,Queens,Emergency Response Incidents,Utility-Water Main,2-17 54 Avenue,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71442154062271,-74.00607638041981,,2016-11-25T04:06:09.000,Manhattan,Emergency Response Incidents,Fire-2nd Alarm,238 East 24 Street,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71442154062271,-74.00607638041981,,2016-12-03T04:17:30.000,Manhattan,Emergency Response Incidents,Utility-Water Main,7th Avenue & West 27 Street,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71442154062271,-74.00607638041981,,2016-12-14T22:26:17.000,Manhattan,Emergency Response Incidents,Fire-2nd Alarm,24 Charles Street,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.66748970288859,-73.99428600039778,2016-11-30T04:22:22.000,2016-11-30T00:25:38.000,new york,Emergency Response Incidents,Fire-3rd Alarm,581 3 ave,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71442154062271,-74.00607638041981,,2016-11-28T21:51:55.000,Manhattan,Emergency Response Incidents,Structural-Collapse,55 Thompson St,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.52609318085672,-74.18029750962154,,2016-11-29T06:49:45.000,Staten Island,Emergency Response Incidents,Utility-Other,Hylan Blvd & Arbutus Avenue,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.59508344584543,-73.78400535855963,,2016-12-18T17:52:37.000,Far Rockaway,Emergency Response Incidents,Fire-2nd Alarm,53-09 Beach Channel Drive,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71442154062271,-74.00607638041981,,2016-12-23T13:36:49.000,Manhattan,Emergency Response Incidents,Fire-1st Alarm,151 West 100 Street,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.60467675962588,-73.97901517750762,,2016-12-15T17:05:32.000,Brooklyn,Emergency Response Incidents,Fire-2nd Alarm,1747 West 6 Street,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71442154062271,-74.00607638041981,,2016-12-09T12:20:14.000,Manhattan,Emergency Response Incidents,Structural-Crane,225 Park Avenue South,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.82730091310776,-73.86917897682753,,2017-01-30T21:47:09.000,Bronx,Emergency Response Incidents,Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
40.71442154062271,-74.00607638041981,,2016-11-30T16:29:12.000,Manhattan,Emergency Response Incidents,Structural-Crane,229 Cherry Street,cityofnewyork,https://data.cityofnewyork.us/d/pasr-j7fb
